EquipmentGroup	EquipmentType
EXTERNAL COMMUNICATIONS,	Satellite 
EXTERNAL COMMUNICATIONS,	VHF
EXTERNAL COMMUNICATIONS,	GSDSS
EXTERNAL COMMUNICATIONS,	UHF
EXTERNAL COMMUNICATIONS,	Firewall
INTERNAL COMMUNICATIONS,	Public Address 
INTERNAL COMMUNICATIONS,	General Alarm
INTERNAL COMMUNICATIONS,	Telephone System
INTERNAL COMMUNICATIONS,	Office Network
INTERNAL COMMUNICATIONS,	CCTV
INTERNAL COMMUNICATIONS,	Drillers Talkback
LIVING QUARTERS & HELICOPTER FACILITIES,	Office Space
LIVING QUARTERS & HELICOPTER FACILITIES,	Medical and Safety Equipment
LIVING QUARTERS & HELICOPTER FACILITIES,	Galley
LIVING QUARTERS & HELICOPTER FACILITIES,	Refrigeration
LIVING QUARTERS & HELICOPTER FACILITIES,	Helideck & Refueling Equipment
HULL SIDE EQUIPMENT,	Main Diesel Generators
HULL SIDE EQUIPMENT,	Transformers/ VFD/MCC & Distribution Panels
HULL SIDE EQUIPMENT,	Ballast Preload Bilge Systems
HULL SIDE EQUIPMENT,	Air Compressors
HULL SIDE EQUIPMENT,	Fuel Oil System
HULL SIDE EQUIPMENT,	Lube Oil System
HULL SIDE EQUIPMENT,	Seawater Cooling System
HULL SIDE EQUIPMENT,	Freshwater Cooling System
HULL SIDE EQUIPMENT,	Cathodic Protection
HULL SIDE EQUIPMENT,	Anti-Corrosion & Anti-Fouling Systems
HULL SIDE EQUIPMENT,	Incinerator/Trash Compactor
HULL SIDE EQUIPMENT,	Oily Water Separator
HULL SIDE EQUIPMENT,	Sewage Treatment Unit
HULL SIDE EQUIPMENT,	Water Maker
HULL SIDE EQUIPMENT,	Hot water Heaters
HULL SIDE EQUIPMENT,	Potable Water System
HULL SIDE EQUIPMENT,	UPS 
HULL SIDE EQUIPMENT,	HVAC  
